date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
9/28/2018,9440,1422,2121,945,934,325,83,63,19,6,178,40,53,9,0.006571774,1.1013,4434,4026,229.040000,231.750000,218.670000,222.400000,2018120000,23414405283
9/29/2018,7153,1127,1653,791,767,282,71,56,11,4,151,36,57,10,0.011699817,1.0604,3371,3179,221.710000,234.010000,216.080000,231.640000,2208720000,22668968228
9/30/2018,7406,1156,1613,745,774,271,60,47,9,5,171,48,43,6,0.008076163,1.1295,3585,3174,231.330000,236.990000,228.450000,232.850000,1765560000,23657737547
10/1/2018,9468,1506,2168,994,890,306,87,68,18,7,215,66,56,8,0.012099421,1.1459,4296,3749,233.220000,234.150000,226.950000,230.770000,1597500000,23855852479
10/2/2018,10826,1540,2474,1191,1033,371,100,73,11,4,194,39,58,11,0.010146467,1.1341,4712,4155,231.100000,231.170000,225.840000,227.180000,1542080000,23643704719
10/3/2018,9512,1559,2010,895,932,353,104,81,15,9,232,50,60,9,0.010136878,1.1480,4500,3920,226.410000,226.460000,213.970000,220.490000,1683930000,23168243633
10/4/2018,10548,1556,2176,983,1025,370,81,55,11,7,187,44,47,7,0.008826539,1.1602,5091,4388,220.450000,226.150000,220.090000,222.220000,1479500000,22562709805
10/5/2018,10307,1416,2267,1053,1073,387,93,59,14,6,165,37,60,15,0.007412940,1.1693,4710,4028,222.270000,228.320000,220.960000,227.600000,1547330000,22753560914
10/6/2018,7375,1040,1650,777,815,323,62,47,14,9,106,15,39,9,0.004979842,1.1152,3513,3150,227.550000,227.930000,224.250000,225.120000,1505070000,23299225467
10/7/2018,6561,886,1338,645,704,246,52,34,9,3,120,29,36,10,0.005702527,1.0939,3121,2853,225.440000,226.370000,223.000000,226.120000,1470480000,23087109194
